mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_min_child_samples,param_n_estimators,param_num_leaves,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
4.654610951741536,1.234120427931286,0.25722209612528485,0.03084173998234304,0.12236203565420874,33,370,121,"{'learning_rate': np.float64(0.12236203565420874), 'min_child_samples': 33, 'n_estimators': 370, 'num_leaves': 121}",0.9763202282346548,0.9820901967319219,0.9715376218149128,0.9766493489271632,0.0043143519920879865,9
2.5805713335673013,0.42489134449396143,0.07248036066691081,0.00974225949366916,0.24390730008183079,25,202,97,"{'learning_rate': np.float64(0.24390730008183079), 'min_child_samples': 25, 'n_estimators': 202, 'num_leaves': 97}",0.9766378354307239,0.9808580236468658,0.9744654968283808,0.9773204519686569,0.002653999972953677,5
10.06357741355896,1.4695492442645608,0.3523002465565999,0.02711794220637223,0.039992474745400866,15,187,114,"{'learning_rate': np.float64(0.039992474745400866), 'min_child_samples': 15, 'n_estimators': 187, 'num_leaves': 114}",0.975705287081868,0.9806439652369761,0.9705790457578432,0.9756427660255623,0.0041092239893698035,12
7.395351807276408,1.0093244702639492,0.24746807416280112,0.017704834828991056,0.05286004537658223,7,249,67,"{'learning_rate': np.float64(0.05286004537658223), 'min_child_samples': 7, 'n_estimators': 249, 'num_leaves': 67}",0.9746084080906745,0.9802210196871903,0.9775621196897682,0.9774638491558777,0.002292392499363832,4
1.6015044848124187,0.17672301660869613,0.13074580828348795,0.02555253918833124,0.3009729556485983,48,393,16,"{'learning_rate': np.float64(0.3009729556485983), 'min_child_samples': 48, 'n_estimators': 393, 'num_leaves': 16}",0.9744429901400671,0.9837224313084569,0.9704331517631135,0.9761995244038791,0.0055656863711813186,10
6.30764643351237,0.9209554743797137,0.29399458567301434,0.05153508441048784,0.06454749016213018,25,260,90,"{'learning_rate': np.float64(0.06454749016213018), 'min_child_samples': 25, 'n_estimators': 260, 'num_leaves': 90}",0.9780349940375075,0.9819108238368268,0.9709004385569913,0.9769487521437753,0.0045601233237255925,7
2.846689542134603,0.47851862259947314,0.07994476954142253,0.010422777971051735,0.19349594814648427,48,148,105,"{'learning_rate': np.float64(0.19349594814648427), 'min_child_samples': 48, 'n_estimators': 148, 'num_leaves': 105}",0.9740155905108527,0.9800576471553671,0.9723699054543733,0.9754810477068644,0.0033051491857712654,13
2.9614641666412354,0.6516129737245783,0.2569756507873535,0.08719151935154411,0.19355586841671385,46,287,94,"{'learning_rate': np.float64(0.19355586841671385), 'min_child_samples': 46, 'n_estimators': 287, 'num_leaves': 94}",0.9743488160170972,0.9839036375986132,0.975481811558378,0.9779114217246961,0.0042623082974571685,1
4.010881662368774,0.8473513359156124,0.14554429054260254,0.015568860180314208,0.07983140212909126,48,154,78,"{'learning_rate': np.float64(0.07983140212909126), 'min_child_samples': 48, 'n_estimators': 154, 'num_leaves': 78}",0.9730881226508945,0.9779812553408408,0.9726424692135425,0.9745706157350925,0.002418539316306383,16
2.425264835357666,0.4481301325931754,0.11383239428202312,0.0163247423646836,0.150028867974394,41,234,35,"{'learning_rate': np.float64(0.150028867974394), 'min_child_samples': 41, 'n_estimators': 234, 'num_leaves': 35}",0.9755013852615891,0.981632270981435,0.9754506120096367,0.9775280894175536,0.0029021686388809873,3
3.2803019682566323,0.5555635124268006,0.0946055253346761,0.020045949149757717,0.1451497755908629,22,188,74,"{'learning_rate': np.float64(0.1451497755908629), 'min_child_samples': 22, 'n_estimators': 188, 'num_leaves': 74}",0.9771720463865798,0.9790435401957573,0.9701137033601842,0.9754430966475072,0.003845122180778256,14
1.1096402009328206,0.23291898787248383,0.049423535664876304,0.0027816277697479204,0.17898646535366178,13,152,16,"{'learning_rate': np.float64(0.17898646535366178), 'min_child_samples': 13, 'n_estimators': 152, 'num_leaves': 16}",0.9739390009435224,0.9818154232071149,0.9758374174870382,0.9771972805458918,0.003356230779980228,6
2.6606479485829673,0.5337708363621263,0.1398742993672689,0.016554557069096035,0.21526990795364706,11,363,61,"{'learning_rate': np.float64(0.21526990795364706), 'min_child_samples': 11, 'n_estimators': 363, 'num_leaves': 61}",0.9748962746620458,0.9790028128049777,0.9745798542325307,0.9761596472331847,0.002014567500900266,11
6.146353483200073,1.3693559339870343,0.17760165532430014,0.008874506773244981,0.062009396052331626,21,149,118,"{'learning_rate': np.float64(0.062009396052331626), 'min_child_samples': 21, 'n_estimators': 149, 'num_leaves': 118}",0.9749471497228719,0.9796492563803093,0.9704017036544162,0.9749993699191992,0.003775478165409108,15
2.730966329574585,0.4279128383209041,0.0492548942565918,0.0025655201340424906,0.23660842309529573,10,153,120,"{'learning_rate': np.float64(0.23660842309529573), 'min_child_samples': 10, 'n_estimators': 153, 'num_leaves': 120}",0.9754830435214287,0.9809006884435075,0.9742789464545559,0.976887559473164,0.0028799728628432727,8
1.933609167734782,0.4989856045180673,0.09951408704121907,0.02307303271690367,0.18031009834599745,33,290,32,"{'learning_rate': np.float64(0.18031009834599745), 'min_child_samples': 33, 'n_estimators': 290, 'num_leaves': 32}",0.9772408015122747,0.9822079892633693,0.9738622132145521,0.9777703346633987,0.0034276618350178576,2
